corrente,f_quadrado,,,,,,,,,,,,,
251.10,6.10,,,,,,,,,,,,,
230.00,5.50,,,,,,,,,,,,,
210.10,4.51,,,,,,,,,,,,,
190.10,4.46,,,,,,,,,,,,,
170.00,3.96,,,,,,,,,,,,,
150.10,3.42,,,,,,,,,,,,,
130.30,2.96,,,,,,,,,,,,,
110.70,2.45,,,,,,,,,,,,,
90.10,1.94,,,,,,,,,,,,,
70.00,1.46,,,,,,,,,,,,,
50.30,0.97,,,,,,,,,,,,,
40.20,0.71,,,,,,,,,,,,,
30.01,0.45,,,,,,,,,,,,,
25.04,0.32,,,,,,,,,,,,,
20.00,0.20,,,,,,,,,,,,,
15.10,0.09,,,,,,,,,,,,,
7.88,0.10,,,,,,,,,**********************************************************************,,,,virou
4.98,0.18,,,,,,,,,,,,,
-5.00,0.42,,,,,,,,,,,,,
-15.10,0.66,,,,,,,,,,,,,
-25.15,0.90,,,,,,,,,,,,,
-35.09,1.16,,,,,,,,,,,,,
-50.02,1.53,,,,,,,,,,,,,
-70.00,2.02,,,,,,,,,,,,,
-90.08,2.54,,,,,,,,,,,,,
-110.80,3.02,,,,,,,,,,,,,
-130.10,3.47,,,,,,,,,,,,,
-150.50,4.03,,,,,,,,,,,,,
-170.00,4.47,,,,,,,,,,,,,
-190.20,5.02,,,,,,,,,,,,,
-210.80,5.50,,,,,,,,,,,,,
-230.80,5.74,,,,,,,,,,,,,
-250.40,6.39,,,,,,,,,,,,,
