Bx,By,Bz,Btotal
39.21,5.61,0.29,39.61
39.19,5.24,0.15,39.53
38.84,5.37,-0.01,39.21
38.96,5.36,0.43,39.33
38.9,5.61,0.54,39.3
39.19,5.27,0.48,39.55
39.1,5.17,0.07,39.44
39.36,5.37,0.22,39.73
39.22,5.22,0.42,39.56
39.24,5.21,0.6,39.59
39.08,5.2,0.9,39.44
39.28,5.23,0.42,39.63
39.29,5.17,0.48,39.63
39.15,5.23,0.27,39.5
39.06,5.13,0.14,39.4
39.63,5.16,0.21,39.96
39.56,5.34,-0.02,39.92
39.16,5.23,0.55,39.52
39.15,5.38,0.4,39.52
39.07,5.45,0.83,39.45
39.11,5.35,0.68,39.48
39.09,5.25,0.5,39.45
39.07,5.25,0.86,39.43
39.17,5.18,0.93,39.52
39.05,5.03,0.68,39.38
39.34,5.33,0.45,39.7
39.07,5.3,0.47,39.43
39.23,5.19,0.53,39.58
39.09,5.41,0.62,39.47
38.94,5.2,0.7,39.29
38.75,4.99,1.06,39.09
38.92,5.32,0.16,39.28
39.01,4.93,0.53,39.32
39.24,5.23,0.72,39.59
39.13,5.36,0.39,39.5
39.24,5.25,0.86,39.6
38.86,5.24,0.63,39.21
39.26,5.28,0.46,39.62
39.42,5.34,0.78,39.79
39.52,4.95,0.81,39.84
39.07,5.27,0.63,39.43
38.94,5.04,0.42,39.27
39.19,5.41,0.39,39.56
39.14,5.29,0.15,39.5
39.34,5.38,0.4,39.71
39.15,5.38,0.9,39.52
39.14,5.13,0.36,39.47
39.15,5.29,0.22,39.5
39.06,5.18,0.09,39.41
39.45,5.39,0.07,39.81
39.49,5.33,0.73,39.86
39.25,5.62,-0.28,39.65
39.27,5.65,0.09,39.68
39.09,5.57,0.62,39.49
39.07,5.46,0.7,39.45
39.09,5.79,0.82,39.52
39.24,5.56,-0.06,39.63
39.22,5.52,0.74,39.61
